image,audio,order,title,description
I010,C010,1,《冨嶽三十六景》系列：《凱風快晴》,"1826年，葛飾北齋以富士山不同角度的樣貌為主題，創作了風景畫《冨嶽三十六景》，起初只按照標題名畫了36幅，後來因為這個系列太受歡迎，於是追加了十幅，全系列共46幅作品。本展品《凱風快晴》和另一幅《山下白雨》都相當知名，也因為顏色使用不同，被暱稱為「紅富士」與「黑富士」。

「凱風」一詞是取自中國《詩經》國風篇的《邶風．凱風》：「凱風自南，吹彼棘心。」整首詩描述孝子歌頌母親恩德，並自責盡孝不及親情之恩。「快晴」則意指晴朗的天氣或清明的晨空。在江戶時代，日本的文人雅士和出版界時常從中國古籍詩詞中撷取詞彙為創作命名，是當時頗為常見的文化現象。北齋本人的藝術養成過程中，也深受漢文化薰陶，他曾研習過中國傳統繪畫技巧，如：山水畫的筆法神韻，也曾為流傳到日本，後來翻譯發行的中國文學名著繪製插圖，例如：《水滸傳》、《西遊記》。
文學及藝術養成過程紮實，底藴深厚的葛飾北齋，會在作品名稱中結合藝術與文學，並不意外。

這套《冨嶽三十六景》，不僅在當時引起轟動，被譽為日本風景版畫的代表里程碑，同時作為能夠大批印刷出版的木版畫，世界各地的知名博物館都收藏有系列中的作品。例如：大英博物館、紐約大都會藝術博物館等，都可以看到《凱風快晴》這幅版畫，也因為有印製時期與顏料、工藝上的差異，所以即便是同一幅畫，也會有多種色彩版本，初版由葛飾北齋監製，使用昂貴顏料和複雜技巧，呈現晨曦紅富士的細膩色調，加上早期年代印刷的色料比較黯淡，所以富士山並非現在看到的鮮紅色，而是帶著棕色調感，俗稱「粉富士」，後期時代技術和染料演變，變成為比較鮮紅明亮的「紅富士」，除了顏色以外，因為反覆印刷的關係，版木也會有所磨損，即便翻刻修復，也會有細微木紋上的差異，這也是我們現代看到多種「浮世繪」版本的有趣之處。

不論哪一種版本，都不減損日本浮世繪對於藝術的重要影響和世人的喜愛。"
I012,C012,2,《歌撰戀之部》系列－ 《物思戀》,"日本古典和歌是日本文學中重要的形式之一，通常會依詩歌主題將內容分類，例如：描寫自然時令的「四季歌」、祝賀用的「賀歌」、送別用的「離別歌」、男女戀愛情事的「戀歌」。其中篇幅最多，也佔極重要地位的就是戀歌。

喜多川歌麿於寬政年間創作的浮世繪系列《歌撰戀之部》便是模仿了和歌分部的命名，江戶時代的書籍、藝術家與出版商們，時常以古典詩歌、故事名著為靈感，來命名通俗創作，賦予作品高雅意涵或諧趣效果，《歌撰戀之部》透過標題將平民趣味的浮世繪和崇高傳統的和歌世界聯結起來，使欣賞者在美人畫之餘，亦能領會到內含典故的文學底蘊。

當時喜多川麿在江戶時期的知名出版商蔦屋重三郎的贊助下專注創作美人畫，他們兩位可說是藝文界最佳搭檔，兩人經常與當時的文學作家們合作，由喜多川歌麿插畫，蔦屋重三郎負責出版企劃和商業經營，以詩歌、戲作搭配優雅風流的圖畫，加上嶄新的印刷技術，使用精湛雕工和高級顏料，例如：會讓畫面有纖細閃亮效果的雲母粉，在這樣相輔相成的運作下，浮世繪作品兼具詩情畫意，更加吸引文化人與民眾們閱讀流傳，文學家、藝術家和出版商，共同打造出雅俗共賞的浮世繪，也使美人畫成為浮世繪主流巔峰之一。"
I015,C015,3,《冨嶽三十六景》系列－《神奈川沖浪裏》,"創作於1830年間的《神奈川沖浪裏》是一幅橫式畫作，初版寬約37.9公分，高約25.7公分，原版裡的署名也不是葛飾北齋，而是「北齋改為一筆」，喜歡改名的葛飾北齋，在創作《冨嶽三十六景》系列時，也先後改了幾次筆名，瀟灑個性在作品署名便可窺見一斑。

創作這幅舉世聞名的《神奈川沖浪裏》時，北齋正逢七十大關，此時的他人生境遇可謂坎坷谷底，妻子過世、孫兒好賭、家道中落，年老患病，最後和因離婚而返家的女兒遷居寺廟，勉強度日，這段期間的北齋，不論在家庭、經濟、身體健康都不順遂，但也正是在這樣拮据的境況下，他更揮灑畫筆，創作出展新的里程碑，畫面中引人注目的大面積藍色運用。便是採用了當時從歐洲新傳入的顏料「普魯士藍」，這種顏料色彩鮮明且耐久，不易褪色，讓浮世繪能表現前所未有的鮮明藍調，甚至出現以藍色為主調的「藍摺繪」風潮。北齋大膽疊印深淺不同的藍色，加強了浪峰的量感和立體感，使畫面更具視覺衝擊力。

年邁的葛飾北齋在創作環境及人生際遇內外交迫的時刻，沒有喪失意志，一蹶不振，依然精力充沛，接收著來自西方的新技術顏料，並運用在作品當中，畫裡的驚濤駭浪彷彿以自然現象暗喻著人生苦難無常，奮力求生的漁船眾人，和遠景中泰然自若的富士山，作為長生不朽的象徵，永恆自然與瞬息災難的對比，像是對自身境遇的一種隱喻，也隱約傳遞出人與自然共生，在困境中掙扎的哲理，即使身處變幻無常的紅塵浮世，依然心存永恆安定的嚮往，並在天地間努力求生。

葛飾北齋在75歲高齡時，出版繪本《富嶽百景》初編裡的跋文提到：「七十歲以前所作之畫皆無足觀；七十三歲時方悟得動植物之理。盼能活到百歲，當可臻化境，屆時每一筆每一點都將充滿生命。」
正因為有著如此豐富的人生經歷，才能催生出他多采多姿的繪畫風格，《神奈川沖浪裏》便是誕生在藝術家困頓卻充滿毅力的人生歲月裡，蘊含了江戶時代日本人對自然敬畏的複雜情感，以及在風景中感悟人生之道的深厚內涵。"
I018,C018,4,《義經十九臣》,"《義經記》的作者不詳，其具體成書年代也無法確定，一般推測完成於14世紀前後，作品內容參考了歷史素材：，源平合戰，這場12世紀末日本兩大武士勢力的內戰，起因爲皇室繼承權之爭，衍生成兩大武派爭奪政權，源義經身為日本歷史上記載的源氏名將，立下多次顯赫戰功，更是在最後的海戰擊潰平氏一族，結束了長達數十年的源平兩家戰爭，確實存在過的真實歷史，再加上文學潤飾，塑造出浪漫的悲劇英雄：武將「源義經」的傳奇一生。《義經記》對日本的藝文發展影響深遠，尤其是能劇、歌舞伎等，還有以此為主題創作的浮世繪，甚至在現代，也被翻拍成電視劇、電影。

歌川國芳的《義經十九臣》是以「大判」形式的三張圖版，拼接而成的「大判錦繪」，錦繪是指多色套印的木版畫，「大判」是浮世繪中最常見的版畫尺寸格式，一般尺寸約為39公分 × 26公分左右，相當於今日紙張B4尺寸大小，是江戶後期浮世繪最標準的商業印刷尺寸。

歌川國芳在1855年完成這系列，屬於晚年作品，此時的他，已是浮世繪中以「武者繪」備受尊敬的大師級畫師，而這個時期也是江戶時代晚期，日本即將對外開國，處於內憂外患的時期，在這樣動盪不安的氛圍裡，歌川國芳依然以歷史英雄題材來寄託家國情懷，筆下作品充滿豪邁浪漫的武士精神，也讓這一系列作品，有了更深刻的文化內涵。"
I019,C019,5,《冨嶽三十六景》系列－《甲州伊澤曉》,"《冨嶽三十六景》系列創作於1830–1832年，此套作品發行後大受好評，迅速風靡整個江戶市場，也讓葛飾北齋因此再度追加10幅，全套一共46幅。

最初發行的36幅作品，這些作品主要描繪了富士山在各種天氣、時間和地點下的景觀。被學術界稱為「表富士 （おもてふじ）」，畫作場景明亮清晰、充滿張力，構圖上常採取聚焦近景，透視法和較為強烈的動態描述。特別的是畫面中使用了大量的新顏料：普魯士藍，初版發行時甚至有幾張圖採用全版藍色印刷，被稱為「藍摺繪」，開啟了浮世繪的藍色時代。

因應市場需求而後來追加的10幅作品，則被稱為了「裏富士（うらふじ）」，這些作品的風格較為沉靜詩意，畫面中富士多以剪影、遠山或晨昏景色呈現，構圖和氣氛上呈現出更平靜內斂、詩意寫真的風格。普魯士藍的運用來到了更新的成熟階段，開始有了濃淡層次和更多的顏色過渡。

這幅《甲州伊沢暁》經典呈現出「裏富士」的特色，背光處的剪影黑影，而富士山後背景的晨曦微光，河面泛起白色光霧，晨霧與深藍夜色的漸層，熙攘人群的朝氣蓬勃，葛飾北齋營造出更悠遠深刻的繪畫意境，更鮮活的人間風景。"
I020,C020,6,《冨嶽三十六景》系列－《東海道金谷之不二》,"東海道（Tōkaidō）是日本江戶時代五大官道之一，是連接江戶（今東京）與京都之間最重要的幹道，全長約492公里，設有53個宿場町（驛站），因此常稱為「東海道五十三次」，而這條道路上的風景，也時常成為江戶時代畫師們描繪的主題。
作品名稱《東海道金谷》指的是江戶時代，位於東海道驛站之一的金谷宿，就是現在的靜岡縣島田市金谷一帶，在當時以著名的天然地理屏障聞名，也就是畫面中的「大井川」，當時的旅客往來，只能僱請「川越人足」，也就是所謂的「渡河挑夫」，協助攙扶或以「肩車」的方式，將旅人與行李貨物等扛過河，也因此非常看重氣候條件，每逢大雨，河水暴漲時，就因為危險而無法徒步過河，旅客往往會因此而被迫留在驛站的旅館滯留，等到雨停水位下降，恢復正常時，才能通行。這種特殊的渡河習慣被稱為「川留め」，也造就了岸旁旅館經濟繁榮的現象。

葛飾北齋的這幅作品裡，就寫實呈現了大井川的渡河日常盛況，畫裡人群分佈在岸邊及川水中，有扛貨物和轎子的，有抬著人的，生動的肢體動作，展現出眾人共同合作渡河的壯觀場面，在寧靜悠遠的富士山前，人類為了生活正齊心努力著，這也是江戶時代動人的人間煙火氣。"
I021,C021,7,《里見八犬傳 芳流閤之圖》,"《南總里見八犬傳》又被簡稱做《八犬傳》，是19世紀日本戲作家瀧澤馬琴（筆名：曲亭馬琴）最著名的代表作之一，他出身江戶的沒落武士家庭，寫作文風嚴謹並富含道德寓意，喜愛借鑒中國古典小說情節並融入儒家思想，在文學娛樂之餘，寄託教化意義，他一生著作豐富，擅長結合歷史傳說與想像力，一開始在1814年創作八犬傳時，以連載方式出刊，完稿於1842年，寫稿後期他還歷經雙目失明之苦，但仍靠著口述由家人代筆完成。全作耗費28年，共計98卷，106冊的戲作讀本，也就是類似中文文學裡的白話小說。

故事內容環繞著「勸善懲惡」，情節奇幻曲折，背景設定在室町時代後期的房總地區，以安房國里見家族的興亡為舞台，里見城主為了討伐敵軍煩惱，對愛犬八房戲言若能將敵首拿下，便將女兒伏姬公主賜嫁，結果八房果真成功完成使命，誰知後來伏姬為實現諾言與八房離群索居後，城主後悔追擊，於是伏姬自盡，臨終時，她身上的隨身珠串畫成八顆靈玉，飛散世間，轉生託付在日後出現的八位青年，這八人姓名皆有「犬」字，並呼應著靈珠上刻著的八德「仁、義、禮、智、忠、信、孝、悌」，他們原本素昧平生，在冥冥中卻受到伏姬之靈引導，成為里見家臣，被稱為八犬士，斬妖除魔，報恩復仇，最後平定奸邪，振興里見家族。

《八犬傳》是日本江戶時代「武家文學」與「戲作文學」的代表名作，也是日本古典文學史上最長篇的巨著。從江戶時代出版就備受喜愛與支持，小說連載期間就被改編為淨瑠璃、歌舞伎等舞台劇上演，吸引大批觀眾；浮世繪畫師們也從中汲取靈感，根據小說裡的情節，創作出許多相關版畫名場面。例如本次展覽品：歌川國貞的《里見八犬傳 芳流閤之圖》。

忠義武勇與因果報應的故事核心，直到現代的日本社會，依然引起共鳴，不論是文學、電影、動漫、連續劇等，都有不少以這套讀本為基礎架構進行改編創作的精彩作品。"
I023,C023,8,《芥子》,"《芥子》創作於1833~1834年間，屬於葛飾北齋晚年所創作的花卉圖系列之一，這一系列以花鳥為題材的版畫，以浮世繪中「橫幅大判」尺寸的錦繪工法製成，被稱作「大花圖」或「大判花鳥畫系列」，全系列共約十幅左有，每一幅都是以特寫方式描繪花朵與周圍的蝴蝶、小蟲等生物。

由於這一系列畫作的尺寸較大，構圖也採用大膽拉近的特寫聚焦方式，被認為是葛飾北齋對於浮世繪傳統花鳥畫的創新，晚年時期的他，除了兼具大半輩子累積的浮世繪傳統，更由於自身人生經歷體悟，在藝術表達上開創更多的想法，同時也更強調對於大自然真實情感的展現。"
I024,C024,9,《櫻花與富士圖》,"《櫻花與富士》是葛飾北齋在江戶時代文化元年，也就是1804年間完成的版畫作品，特別的是，它並非插畫或繪本，也不是葛飾北齋某個主題系列之一，它是一幅單獨完成的錦繪版畫，屬於「摺物」。
「摺物」是指江戶時代由私人訂製浮世繪畫師完成的限量木版畫，這類畫作的用途大多是重要節慶或親友間的聚會留念及饋贈，不提供市面流通，公開販售。《櫻花與富士》正是一件為了特定場合所作的訂製畫，是一份音樂會節目單的圖畫，背面有贊助人藤田藤次郎 (Fujita Tojiro）的名字，尺寸也不是浮世繪常見的大判橫幅，採用高級和紙印刷，主要用於委託者的社交圈內贈閱欣賞。

從私人訂製畫作品，可以看出當時創作類型廣泛的葛飾北齋，也承接私人委託訂製，參與這樣的訂製，不但讓他不受商業類版畫的盈虧限制，可以大膽運用精緻技法和高級用料創作，也反映出他的聲望，讓藝文人士與富商趨之若鶩，邀請作畫，而中年時期的葛飾北齋，也積極學習外來技法知識，與傳統日本繪畫融合，加上不限制只出版商業類版畫，而是有客訂、插畫、各種類型的創作計畫，這些經歷，都為他之後的人生創作巔峰打下了深厚基礎。"
I027,C027,10,《相馬古內裏》,"歌川國芳向來善於以三幅連續畫面構成壯觀場景，《相馬古內裏》也是大判錦繪木版畫的三連作，三張版畫相連，形成單一完整構圖，視野寬廣，極具戲劇張力。

這幅作品約創作於西元1845-46年間，當時正是江戶時代幕末，官方對風俗藝能限制嚴格的時期，禁止通俗藝術浮世繪描繪歌舞伎及戲劇場景，歌川國芳以歷史傳說題材創作，既能避開禁令，也滿足大眾們對戲劇故事的興趣，早期因為水滸傳等英雄主題，在武者繪領域頗負盛名的他，這幅《相馬古內裏》更展現了他大膽奇幻的構圖創意，既有歷史戲劇性又充滿怪奇想像的畫風，不僅反映了江戶後期社會民風對於妖怪奇譚、軍紀歷史等題材的熱情，也是在當時文化箝制環境下，藝術家巧妙求新的神來之筆。畫中巨大骷髏鬼對比渺小武士的震撼場面，也被視為對無常力量的形象化：在專制權威難以撼動的世道，民間傳說往往借助神鬼之力來映射對抗權力的想像。

除了畫風成熟外，歌川國芳在構圖考究上也相當細膩，畫中的人體骷髏形象逼真，連骨骼排列位置、形狀、數量都非常精確，如同科學圖鑑一樣的解剖畫技，超越了當時傳統日本繪畫的認知水準，這在江戶浮世繪中前所未見，應是受到西方解剖學知識的啟發，在江戶時期因為西方醫學傳入，江戶時代晚期日本已有翻譯後的解剖學經典《解體新書》，與此作品完成時間相符合，可見歌川國芳為了逼真畫作，極有可能考究過西方醫學知識，並非自己憑空想像畫出人體骨架，其實當時的賞畫群眾們，就算人骨骷髏的位置不對，也不一定能鑑別，歌川國芳卻用無聲的畫技與用心，展現出藝術家求真求好的匠人精神，以及東方浮世繪與西方科學知識結合的美好邂逅。"
